Question;Réponse
À quoi servaient les cartes au trésor ?;Les pirates passaient leur temps sur les océans à piller des navires
"C&rsquo;est quoi un carton rouge, au foot ?";Un carton rouge au foot est donné par l’arbitre à un joueur qui a fait une faute grave
Comment les pompiers sont-ils équipés ?;Les pompiers, heureusement, ont des équipements très adaptés 
Comment les chevaux sont-ils dressés ?;Le cheval est un animal craintif, donc plus facile à dresser que certains autres animaux
Les volcans crachent-ils tous de la lave ?;Eh non 
"D&rsquo;où viennent les céréales ?";Les céréales que l’on mange le matin avec du lait viennent des graines des plantes, comme le blé, le riz, le maïs
"Qui dirigeait les cérémonies sacrées, chez les Indiens d&rsquo;Amérique ?";Celui qui dirigeait les cérémonies sacrées chez les Indiens d’Amérique était le chef de la tribu
"Quelle était la taille du cerveau des dinosaures&nbsp;?";Bien que les dinosaures furent des créatures gigantesques, la plupart d’entre eux avait un tout petit cerveau
Les muscles, à quoi ça sert ?;Si nous n’avions pas de muscles, nous ne pourrions même pas bouger 
"Est-ce que le cerveau s&rsquo;arrête de fonctionner lorsque l&rsquo;on dort ?";Eh non 
Pourquoi est-ce important de dormir ?;On ne peut pas vivre sans dormir 
Combien pèse une baleine ?;Une baleine peut peser jusqu’à 19 tonnes, c’est-à-dire l’équivalent de 30 éléphants 
Les hommes et les dauphins sont-ils amis ?;On raconte que certains dauphins ont sauvé des humains de la noyade ou auraient aidé des pêcheurs à attraper du poisson
"Qu&rsquo;appelle-t-on la « baleine tueuse » ?";C’est le nom que l’on donne à l’orque, car elle est le seul cétacé à manger d’autres mammifères marins
"Pourquoi  les baleines et les dauphins soufflent-ils de l&rsquo;eau ?";Ces animaux marins de la famille des cétacés sont des mammifères, c’est-à-dire qu’ils ont des poumons et non des branchies comme les poissons
Où vivent les grandes baleines bleues ?;Les baleines bleues, avec leurs 33 mètres de long, sont les plus gros animaux ayant jamais existé 
Le chameau a-t-il une ou deux bosses ?;Le chameau a deux bosses
Qui était Pelé ?;Pelé est un footballeur brésilien, considéré comme le plus grand joueur de football de tous les temps
Qui est Lionel Messi ?;Lionel Messi est un grand joueur de football argentin, considéré comme l’un des plus grands joueurs de tous les temps
Quel était le surnom de Zinedine Zidane ?;Zizou, est le surnom de Zinedine Zidane
"Quel est l&rsquo;homme qui a déchiffré les hiéroglyphes ?";L’homme qui a su déchiffrer les hiéroglyphes est Jean-François Champollion
"Pourquoi un chantier, c&rsquo;est long ?";Un chantier c’est long, parce que cela prend du temps de construire une maison ou un immeuble 
"Qu&rsquo;est-ce que le travail sur un chantier ?";  Le travail sur un chantier est assez difficile et dangereux
"Sur un chantier, à quoi sert l&rsquo;architecte ?";D’abord, l’architecte dessine les plans de la maison ou de l’immeuble
Pourquoi y a-t-il des grues sur les chantiers ?;Les grues servent à soulever de lourdes charges, comme les poutres metalliques ou les blocs de beton
Pourquoi les véhicules sur les chantiers sont-ils souvent grands et gros ?;Sur les chantiers, on utilise des machines qui doivent creuser de gros trous, couler des grandes quantités de béton et porter de grosses pierres ou d’imposantes tiges de fer
"D&rsquo;où viennent les poissons panés&nbsp;?";On ne trouve pas de poissons panés dans la mer, ça c’est sûr 
Pourquoi le spectacle de cirque a lieu sous un chapiteau ?;Le spectacle de cirque a lieu sous un chapiteau car c’est une tente en toile qui se démonte
"Qu&rsquo;est-ce que le chapiteau d&rsquo;un cirque ?";Le chapiteau d’un cirque est la tente en toile qui accueille le spectacle et les spectateurs
Qui était Charlemagne ?;Charlemagne était un roi qui a vécu au Moyen Âge
À quel âge un jeune Indien pouvait partir chasser avec les hommes de sa tribu ?;À partir de 12 ans, un jeune Indien pouvait partir chasser le bison avec les hommes de sa tribu
De quoi vivaient les premiers hommes ?;Les premiers hommes vivaient de la chasse
Que mangeaient les hommes préhistoriques ?;Les hommes préhistoriques n’ont pas commencé à se nourrir de la pêche ou de la cueillette de plantes
Pourquoi le chat a-t-il des moustaches ?;Les moustaches du chat lui servent à sentir ce qui se trouve autour de lui
Comment les chats voient-ils la nuit ?;Les chats voient beaucoup mieux que nous dans l’obscurité
Pourquoi le chat fait-il le gros dos ?;On sait qu’un chat n’est pas content lorsqu’il montre les dents, remue la queue, baisse les oreilles et surtout quand il fait le gros dos et qu’il hérisse ses poils 
Pourquoi les chats ronronnent ?;Tous les chats ronronnent lorsqu’ils sont contents, quand on les caresse, par exemple
Quelle est la différence entre les animaux familiers et les animaux sauvages ?;Les animaux familiers, comme les chats, les chiens, les hamsters, les poissons rouges… sont des animaux qui vivent avec les hommes
"Comment appelle-t-on la plus haute tour d&rsquo;un château fort ?";La plus haute tour d’un château fort s’appelle le donjon
Combien de temps fallait-il pour construire un château fort ?;Il fallait parfois plus de 20 ans pour construire un château fort 
Est-ce que tous les châteaux forts se ressemblaient ?;Non, les châteaux forts étaient tous différents
"Comment s&rsquo;appelait la technique qui consistait à encercler un château fort ennemi ?";Cette technique de guerre s’appelle le siège
Le château de Versailles fut-il la résidence de tous les rois de France ?;Le château de Versailles devint la résidence des rois en 1682, date à laquelle Louis XIV s’y installa
"Comment appelle-t-on la plus haute tour d&rsquo;un château fort ?";La plus haute tour d’un château fort s’appelle le donjon
Combien de temps fallait-il pour construire un château fort ?;Il fallait parfois plus de 20 ans pour construire un château fort 
Est-ce que tous les châteaux forts se ressemblaient ?;Non, les châteaux forts étaient tous différents
"Que sont les douves d&rsquo;un château fort ?";Les douves d’un château fort sont des immenses fossés remplis d’eau qui entourent la forteresse
"Comment s&rsquo;appelaient les ouvertures étroites dans les murs des châteaux forts ?";Les ouvertures étroites et hautes façonnées dans les murailles des châteaux forts s’appelaient des meurtrières
"C&rsquo;est quoi, les pointes, en danse classique ?";Les pointes sont des chaussons de satin à bouts plats, qui permettent de danser en se tenant sur la pointe des pieds
Où vivent les gorilles ?;Les gorilles vivent dans les forêts humides d’Afrique
Comment naît le papillon ?;Au tout début, c’est une petite chenille qui sort de son œuf
Que font les chenilles une fois sorties de leur coquille ?;Les chenilles croquent et mangent leur coquille
Pourquoi met-on des fers sur les sabots des poneys et des chevaux ?;Les fers sont faits pour protéger les sabots des chevaux et des poneys
"C&rsquo;est quoi la robe d&rsquo;un cheval ?";Il s’agit de la couleur de ses poils
Le cheval dort-il debout ?;Oui 
Pourquoi le cheval remue-t-il les oreilles ?;Le cheval, comme beaucoup d’animaux, remue ses oreilles en fonction de son humeur
"Quelle est la différence lorsqu&rsquo;un cheval se cabre ou qu&rsquo;il rue ?";On dit qu’un cheval se cabre, lorsqu’il se lève sur ses postérieurs (jambes arrière) et agite ses antérieurs (jambes avant)
"Combien pesait l&rsquo;armure du chevalier ?";L’armure complète du chevalier pouvait peser jusqu’à 25 kg 
"Comment s&rsquo;appelle le vêtement fait de pièces de métal que portait le chavalier pour se protéger des coups ?";Le vêtement s’appelle une cotte de maille
"Comment s&rsquo;appelait la technique qui consistait à encercler un château fort ennemi ?";Cette technique de guerre s’appelle le siège
"Qui fabriquait l&rsquo;armure des chevaliers ?";L’homme qui fabriquait l’armure des chevaliers était le forgeron
Pourquoi les chevaliers participaient-ils à des tournois ?;Les chevaliers participaient à des tournois de façon à mesurer leur force, les uns vis-à-vis des autres
Pourquoi les cheveux deviennent-ils blancs ?;The white hair appears because the melanin which gives the color to the hair and the skin, Problème de pertedecheveux aussi un grand problème ces années
Pourquoi le chien remue-t-il la queue ?;On dit que le chien remue la queue lorsqu’il est content
Comment fait le chien pour se faire comprendre ?;Le chien communique en aboyant, en grognant ou en gémissant
Pourquoi les chiens aiment-ils les os ?;Les chiens adorent ronger les os
Y a-t-il des chiens pompiers ?;Oui, il existe des chiens spécialement entraînés pour aider les pompiers à retrouver des gens sous des bâtiments écroulés, par exemple
Quelle est la différence entre les animaux familiers et les animaux sauvages ?;Les animaux familiers, comme les chats, les chiens, les hamsters, les poissons rouges… sont des animaux qui vivent avec les hommes
Dans quel pays utilise-t-on des baguettes pour manger ?;En Chine et dans beaucoup de pays asiatiques
"Pourquoi les Indiens d&rsquo;Amérique s&rsquo;appellent-ils comme cela ?";Les Indiens d’Amérique sont en fait les premiers habitants du continent américain
Les dinosaures ne vivaient-ils que sur la terre ferme ?;Eh oui 
"Qu&rsquo;est-ce que le chapiteau d&rsquo;un cirque ?";Le chapiteau d’un cirque est la tente en toile qui accueille le spectacle et les spectateurs
Pourquoi le spectacle de cirque a lieu sous un chapiteau ?;Le spectacle de cirque a lieu sous un chapiteau car c’est une tente en toile qui se démonte
"Qu&rsquo;annonce le roulement de tambour, dans un cirque ?";Le roulement de tambour, dans un cirque, annonce qu’un numéro dangereux va se dérouler
"Qu&rsquo;est-ce que monter en amazone, dans un cirque ?";Autrefois, les femmes montaient en amazone
Est-ce que les acrobates de cirque tombent souvent ?;Non, les acrobates de cirque ne tombent pas souvent
"Qu&rsquo;appelle-t-on les claquettes ?";Les claquettes sont une danse qui se pratique en tapant avec ses pieds
"L&rsquo;histoire romaine a-t-elle croisée l&rsquo;histoire d&rsquo;Égypte ?";Oui, entre autres lorsque Cléopâtre rencontra Jules César
Pourquoi il y a-t-il des numéros de clown, dans les cirques ?;Au départ, les clowns entraient en piste pour faire patienter les spectateurs entre les numéros
"Quel l&rsquo;animal remplace les produits chimiques en mangeant les pucerons ?";L’animal qui dévore les pucerons est la coccinelle 
Les pois de la coccinelle servent-ils à donner son âge ?;Non, les pois de la coccinelle ne servent pas à donner son âge 
